Time (CST),Module,Title,Presenter
9:30 AM,0,intro,bernhold
9:40 AM,1,overview,bernhold
10:00 AM,2,agile,rinkug
10:30 AM,3,git-workflows,rinkug
<em>11:00 AM</em>,,<em>Break</em>,
11:15 AM,4,design,adubey64
11:45 AM,5,reproducibility,bernhold
12:30 PM,6,agile-redux,rinkug
<em>12:45 PM</em>,,<em>Lunch</em>,
1:45 PM,7,testing-introduction,frobnitzem
2:10 PM,8,testing-walkthrough,frobnitzem
2:25 PM,9,testing-advanced,frobnitzem
2:45 PM,9,continuous-integration,frobnitzem
<em>3:00 PM</em>,,<em>Break</em>,
3:15 PM,10,continuous-integration,frobnitzem
3:30 PM,11,refactoring,adubey64
4:30 PM,12,summary,bernhold
<em>4:45 PM</em>,,<em>Adjourn</em>,
