Fixed Points,Duration,Time (CST),Module,Title,Presenter
<!--skip-->,<!--skip-->,<!--right-->,<!--right-->,,
8:00 AM,10,8:00 AM,0,intro,bernhold
,20,8:10 AM,1,overview,pagrubel
,30,8:30 AM,2,git-workflows,pagrubel
,30,9:00 AM,3,agile,rinkug
,30,9:30 AM,4,design,bernhold
10:00 AM,30,10:00 AM,,<em>Break</em>,
10:30 AM,15,10:30 AM,5,agile-redux,rinkug
,45,10:45 AM,6,reproducibility,bernhold
,30,11:30 AM,,Hands-on & Discussion,
12:00 PM,60,12:00 PM,,<em>Lunch</em>,
1:00 PM,30,1:00 PM,7,testing-introduction2,jarrah42
,25,1:30 PM,8,continuous-integration,jarrah42
,20,1:55 PM,9,testing-advanced,adubey64
,45,2:15 PM,10,refactoring,adubey64
3:00 PM,30,3:00 PM,,<em>Break</em>,
3:30 PM,15,3:30 PM,11,summary,bernhold
,75,3:45 PM,,Hands-on & Discussion,
5:00 PM,,5:00 PM,,<em>Adjourn</em>,
