Fixed Points,Duration,Time (MDT),Module,Title,Presenter
<!--skip-->,<!--skip-->,<!--right-->,<!--right-->,,
9:00 AM,5,9:00 AM,0,intro,bernhold
,10,9:05 AM,1,overview,rinkug
,30,9:15 AM,2,agile,pagrubel
,15,9:45 AM,3,git-workflows,pagrubel
10:00 AM,20,10:00 AM,,<em>Break</em>,
10:20 AM,20,10:20 AM,4,testing-introduction2,rinkug
,20,10:40 AM,5,design,bernhold
,15,11:00 AM,6,testing-advanced,rinkug
,25,11:15 AM,7,refactoring,frobnitzem
,15,11:40 AM,8,reproducibility,frobnitzem
,5,11:55 AM,9,summary,frobnitzem
11:20 AM,0,11:20 AM,,<em>Adjourn presentation portion</em>,
,120,11:20 AM,,<em>Other conference activities</em>,
1:20 PM,60,1:20 PM,,Hands-on & Discussion (optional),
2:20 PM,20,2:20 PM,,<em>Break</em>,
2:40 PM,60,2:40 PM,,Hands-on & Discussion (optional),
3:40 PM,,3:40 PM,,<em>Adjourn</em>,
